Abbreviation,Country,Variable,Year,Value
AUS,Australia,Overnight visitors (tourists),2017,98483900
AUS,Australia,Overnight visitors (tourists),2018,104821900
AUS,Australia,Overnight visitors (tourists),2019,117447700
AUS,Australia,Overnight visitors (tourists),2020,72513800
AUS,Australia,Overnight visitors (tourists),2021,82074100
AUS,Australia,Same-day visitors (excursionists),2017,193312800
AUS,Australia,Same-day visitors (excursionists),2018,205344300
AUS,Australia,Same-day visitors (excursionists),2019,248349200
AUS,Australia,Same-day visitors (excursionists),2020,164191900
AUS,Australia,Same-day visitors (excursionists),2021,160468900
CAN,Canada,Overnight visitors (tourists),2017,117368000
CAN,Canada,Overnight visitors (tourists),2018,95445000
CAN,Canada,Overnight visitors (tourists),2019,93665000
CAN,Canada,Overnight visitors (tourists),2020,68247000
CAN,Canada,Overnight visitors (tourists),2021,69318000
CAN,Canada,Same-day visitors (excursionists),2017,211086000
CAN,Canada,Same-day visitors (excursionists),2018,182615000
CAN,Canada,Same-day visitors (excursionists),2019,181753000
CAN,Canada,Same-day visitors (excursionists),2020,129784000
CAN,Canada,Same-day visitors (excursionists),2021,132949000
CZE,Czech Republic,Overnight visitors (tourists),2017,32561799.57
CZE,Czech Republic,Overnight visitors (tourists),2018,31930562.4
CZE,Czech Republic,Overnight visitors (tourists),2019,32287425.48
CZE,Czech Republic,Overnight visitors (tourists),2020,27613436.79
CZE,Czech Republic,Same-day visitors (excursionists),2017,57602696.61
CZE,Czech Republic,Same-day visitors (excursionists),2018,53900707.44
CZE,Czech Republic,Same-day visitors (excursionists),2019,53579786.35
CZE,Czech Republic,Same-day visitors (excursionists),2020,35208597.99
DNK,Denmark,Overnight visitors (tourists),2017,16333110.62
DNK,Denmark,Overnight visitors (tourists),2018,16618961.03
DNK,Denmark,Overnight visitors (tourists),2019,17794182.66
DNK,Denmark,Overnight visitors (tourists),2020,19341386.3
DNK,Denmark,Overnight visitors (tourists),2021,23414246.3
DNK,Denmark,Same-day visitors (excursionists),2017,48555067.09
DNK,Denmark,Same-day visitors (excursionists),2018,46540841.49
DNK,Denmark,Same-day visitors (excursionists),2019,50106946
DNK,Denmark,Same-day visitors (excursionists),2020,44873527.81
DNK,Denmark,Same-day visitors (excursionists),2021,42228863.21
FIN,Finland,Overnight visitors (tourists),2017,30160000
FIN,Finland,Overnight visitors (tourists),2018,29130000
FIN,Finland,Overnight visitors (tourists),2019,29320000
FIN,Finland,Overnight visitors (tourists),2020,23340000
FIN,Finland,Overnight visitors (tourists),2021,29380000
FIN,Finland,Same-day visitors (excursionists),2018,16160000
FIN,Finland,Same-day visitors (excursionists),2021,31920000
FRA,France,Overnight visitors (tourists),2017,191636263.3
FRA,France,Overnight visitors (tourists),2018,189755192.7
FRA,France,Overnight visitors (tourists),2019,207624151
FRA,France,Overnight visitors (tourists),2020,152119298
FRA,France,Overnight visitors (tourists),2021,187321001
FRA,France,Same-day visitors (excursionists),2017,84900826.94
FRA,France,Same-day visitors (excursionists),2018,78397005.49
FRA,France,Same-day visitors (excursionists),2019,91690902
FRA,France,Same-day visitors (excursionists),2020,60427842
FRA,France,Same-day visitors (excursionists),2021,64919075
DEU,Germany,Overnight visitors (tourists),2017,151175053
DEU,Germany,Overnight visitors (tourists),2018,159337584
DEU,Germany,Overnight visitors (tourists),2019,160984920
DEU,Germany,Overnight visitors (tourists),2020,109295843
DEU,Germany,Same-day visitors (excursionists),2018,567390772
GRC,Greece,Overnight visitors (tourists),2017,5492230
GRC,Greece,Overnight visitors (tourists),2018,5690627
GRC,Greece,Overnight visitors (tourists),2019,5180097
GRC,Greece,Overnight visitors (tourists),2020,4447734
GRC,Greece,Overnight visitors (tourists),2021,4830693
HUN,Hungary,Overnight visitors (tourists),2017,14373820
HUN,Hungary,Overnight visitors (tourists),2018,14385927
HUN,Hungary,Overnight visitors (tourists),2019,14248837
HUN,Hungary,Overnight visitors (tourists),2020,8919064
HUN,Hungary,Overnight visitors (tourists),2021,10182718
IRL,Ireland,Overnight visitors (tourists),2017,9626000
IRL,Ireland,Overnight visitors (tourists),2018,10919000
IRL,Ireland,Overnight visitors (tourists),2019,11621000
IRL,Ireland,Overnight visitors (tourists),2020,7721000
IRL,Ireland,Overnight visitors (tourists),2021,5663000
ITA,Italy,Overnight visitors (tourists),2017,53647141
ITA,Italy,Overnight visitors (tourists),2018,62860945
ITA,Italy,Overnight visitors (tourists),2019,54253152
ITA,Italy,Overnight visitors (tourists),2020,34129556
ITA,Italy,Overnight visitors (tourists),2021,37183244
ITA,Italy,Same-day visitors (excursionists),2017,68203494
ITA,Italy,Same-day visitors (excursionists),2018,82445995
ITA,Italy,Same-day visitors (excursionists),2019,78604408
ITA,Italy,Same-day visitors (excursionists),2020,40524299
ITA,Italy,Same-day visitors (excursionists),2021,35816871
JPN,Japan,Overnight visitors (tourists),2017,323328000
JPN,Japan,Overnight visitors (tourists),2018,291052000
JPN,Japan,Overnight visitors (tourists),2019,311624000
JPN,Japan,Overnight visitors (tourists),2020,160703000
JPN,Japan,Overnight visitors (tourists),2021,141768000
JPN,Japan,Same-day visitors (excursionists),2017,324182000
JPN,Japan,Same-day visitors (excursionists),2018,270727000
JPN,Japan,Same-day visitors (excursionists),2019,275478000
JPN,Japan,Same-day visitors (excursionists),2020,132705000
JPN,Japan,Same-day visitors (excursionists),2021,126440000
